Date,close,high,low,open,volume
2013-02-08,392.69,393.33,389.78,390.00,3024853
2013-02-07,386.98,389.40,382.75,384.85,2840506
2013-02-06,385.08,386.48,379.25,379.44,2079687
2013-02-05,382.87,385.56,379.73,380.54,1870716
2013-02-04,379.51,385.24,379.14,383.92,3041242
2013-02-01,387.80,388.30,379.05,379.10,3746165
2013-01-31,377.85,378.81,375.13,375.26,1634556
2013-01-30,376.92,380.48,376.45,376.87,1732972
2013-01-29,376.84,378.48,373.27,373.50,1747734
2013-01-28,375.36,377.80,373.95,375.88,1627833
2013-01-25,376.83,379.24,375.13,375.39,2225811
2013-01-24,376.92,378.41,370.25,370.30,3383596
2013-01-23,370.75,374.50,367.89,367.92,5911865
2013-01-22,351.44,352.67,347.76,352.50,3792336
2013-01-18,352.26,356.39,350.67,354.72,3226898
2013-01-17,355.66,359.82,355.51,358.97,2212357
2013-01-16,357.60,362.17,356.83,361.20,2024991
2013-01-15,362.47,367.50,356.05,359.67,3927990
2013-01-14,361.63,371.10,361.17,368.53,2864106
2013-01-11,370.00,371.21,368.15,371.00,1285125
2013-01-10,370.74,372.50,366.75,371.44,1835780
2013-01-09,369.06,369.17,364.30,366.14,2025751
2013-01-08,366.65,368.15,362.22,367.78,1676740
2013-01-07,367.38,369.69,365.29,367.73,1655967
2013-01-04,368.98,370.73,363.84,364.83,2763552
2013-01-03,361.83,365.97,360.36,361.81,2318140
2013-01-02,361.63,363.50,358.28,360.02,2542268
2012-12-31,353.69,355.29,348.00,350.00,1997733
2012-12-28,350.01,353.45,350.01,350.85,1403926
2012-12-27,353.14,354.42,349.31,353.57,1647392
2012-12-26,354.44,356.44,351.20,354.04,1182572
2012-12-24,354.75,357.59,353.73,357.26,841931
2012-12-21,357.82,359.41,355.26,358.36,3527849
2012-12-20,361.18,362.33,358.49,361.63,1657153
2012-12-19,360.06,361.50,358.34,360.36,1919799
2012-12-18,360.54,364.55,357.53,358.30,3005138
2012-12-17,360.39,369.14,352.01,352.66,3036763
2012-12-14,350.98,353.91,349.22,349.96,2130595
2012-12-13,351.35,358.24,349.78,357.96,3446306
2012-12-12,348.78,351.76,346.74,349.61,2426299
2012-12-11,348.44,350.96,343.86,345.00,2687956
2012-12-10,342.71,345.83,341.89,342.62,1366866
2012-12-07,342.11,348.44,341.21,347.15,1919476
2012-12-06,345.57,347.81,342.26,343.80,1462216
2012-12-05,343.91,347.25,341.17,345.53,1862735
2012-12-04,345.52,347.76,342.85,347.50,1991605
2012-12-03,347.63,352.95,347.06,351.08,2193948
2012-11-30,349.19,349.61,342.85,345.05,3164441
2012-11-29,345.95,346.95,341.00,343.89,2780544
2012-11-28,341.83,342.45,331.95,334.22,3041940
2012-11-27,335.36,337.50,329.00,330.08,2509598
2012-11-26,330.58,333.50,329.51,333.22,2205527
2012-11-23,333.98,335.00,333.05,334.98,922477
2012-11-21,332.94,334.90,330.20,334.50,2113011
2012-11-20,334.98,339.00,332.29,335.00,2089086
2012-11-19,334.11,334.46,327.77,327.92,2369716
2012-11-16,323.59,326.51,318.00,323.00,3438500
2012-11-15,323.63,330.00,321.95,325.13,1848939
2012-11-14,326.27,331.09,325.25,330.33,1668322
2012-11-13,329.53,333.80,329.11,331.50,1594639
2012-11-12,332.95,334.90,330.44,331.89,1405870
2012-11-09,331.52,334.17,325.15,327.33,3114084
2012-11-08,326.14,335.75,325.61,335.10,2598676
2012-11-07,333.56,339.12,333.25,337.50,2232438
2012-11-06,340.86,343.25,338.78,342.74,1582936
2012-11-05,341.48,343.43,337.78,342.25,1635894
2012-11-02,343.96,347.78,343.69,347.30,2324569
2012-11-01,343.80,345.45,339.36,339.74,2050471
2012-10-31,340.15,340.50,337.50,339.93,1537001
2012-10-26,337.58,341.52,335.60,338.25,1950865
2012-10-25,338.88,341.00,336.76,340.00,2403696
2012-10-24,338.65,343.50,337.64,343.40,2496411
2012-10-23,340.17,343.67,336.00,336.01,2916978
2012-10-22,339.33,342.32,334.85,340.51,4057872
2012-10-19,340.89,353.35,336.00,352.96,11483428
2012-10-18,347.50,379.71,338.00,377.77,12442346
2012-10-17,377.75,378.17,370.13,371.98,2292819
2012-10-16,372.35,373.50,368.23,369.57,2058468
2012-10-15,370.49,371.92,365.35,370.66,3020098
2012-10-12,372.38,377.44,372.05,375.92,2406787
2012-10-11,375.74,379.25,375.14,376.44,2383987
2012-10-10,372.28,373.76,369.14,370.93,2041203
2012-10-09,372.05,380.66,371.27,379.83,3003884
2012-10-08,378.92,381.79,377.08,380.50,1958625
2012-10-05,383.83,387.19,382.50,385.47,2737751
2012-10-04,384.03,384.95,379.70,381.38,2454496
2012-10-03,381.25,381.96,376.10,378.08,2208639
2012-10-02,378.50,383.00,375.14,382.42,2790375
2012-10-01,380.89,382.50,378.11,379.53,3168477
2012-09-28,377.25,379.65,375.58,377.08,2784091
2012-09-27,378.25,381.42,375.83,380.14,3932272
2012-09-26,376.73,380.62,370.50,374.92,5674334
2012-09-25,374.58,382.45,373.83,376.53,6061033
2012-09-24,374.69,375.02,365.13,365.50,3565837
